100000 500000
12080 77679 10
48735 74298 19
63059 10048 5
70589 8644 20
1895 46061 14
58122 1793 9
44435 93245 20
54210 60333 9
57531 47472 20
92145 40352 16
6379 20137 14
57610 38618 3
21634 8633 9
60575 5714 4
11035 48839 7
21930 2910 10
37579 15431 8
22377 53322 7
45070 75744 20
63569 43300 2
59643 13736 11
87141 50965 11
15457 27311 12
21625 13821 1
88783 50326 18
71883 53655 13
13525 52146 18
99833 22663 16
83145 23377 19
19450 41703 14
60634 37059 1
78179 8774 8
68619 39166 7
35645 20805 15
27334 16927 9
25948 90089 11
85784 28103 1
26413 2490 12
66127 92882 7
50695 74137 7
64905 95203 15
68079 82113 8
43263 89164 11
64162 48148 1
38867 4439 15
30538 61977 15
95229 36930 6
27419 8421 4
23543 72344 13
9153 62868 16
66291 36476 3
41028 60084 5
34110 96626 8
15158 48623 9
87268 16126 3
24220 96054 14
69468 65489 18
81021 88951 11
23602 10018 7
9096 98366 20
55247 41998 12
81755 99080 2
44773 53421 12
59944 12110 16
67086 11325 13
9053 35815 5
55305 92360 7
33356 77887 12
67766 70423 5
70451 4757 19
98110 68876 2
94502 37871 5
30455 87947 4
24724 18871 16
92792 71435 5
66639 80163 4
72386 45505 17
87885 11261 17
21509 64559 16
93646 23907 11
97016 37824 20
47615 1130 13
36210 8341 16
82913 69946 10
7155 78666 17
92883 84158 11
2703 59422 12
19156 65667 12
97039 98076 8
20563 82704 7
85802 38723 9
32275 51380 2
47589 20479 6
4908 87343 17
95233 57126 17
59859 20442 5
11633 5678 4
82367 81308 12
44968 91344 3
39015 13154 1
48002 32519 16
87215 61942 11
64057 60704 9
85383 45672 3
23977 71263 7
29855 11288 8
1979 38673 16
26253 20045 4
34974 34615 9
94539 22985 15
93898 31490 6
64258 3753 11
8733 76231 15
62144 23295 12
3825 21506 9
82968 11938 7
33411 10031 19
60877 61208 14
45312 4655 20
48005 40599 14
68533 43147 2
29382 52112 16
48915 48879 18
42574 17294 4
3189 64425 15
19297 13827 5
43969 98302 3
22961 1922 2
71943 45115 3
1610 18659 2
2073 72832 1
8288 18380 4
99812 53570 1
52376 38161 10
45295 12505 13
28635 85213 3
13471 93582 11
85804 89767 12
52441 12868 7
65498 79322 5
3035 71578 3
35483 50689 19
11866 28392 6
76054 59140 14
72831 8790 10
48000 51201 19
56453 8248 6
54283 13605 18
78889 84986 6
65824 12728 20
6564 50501 18
42756 75959 5
89915 63877 6
93248 36896 6
98673 41222 11
55977 55265 12
73153 16774 13
66945 59189 20
26379 29907 4
78404 15464 14
33240 58988 14
1916 84536 5
23810 84741 7
44565 66583 15
15450 67968 12
92722 42095 10
39668 69003 16
23271 14976 17
77886 12032 9
86500 20888 2
54557 90365 20
89594 19096 8
73530 81016 15
74851 20909 20
28830 36769 16
42442 19379 6
19291 4803 2
55907 66252 18
82357 50186 14
3237 49990 2
91583 54952 16
47942 83701 6
57166 17923 7
39541 10919 15
32175 77352 16
84560 88803 7
89462 20235 7
75266 28803 2
92343 95678 8
16996 7134 8
65445 69377 14
96412 1629 8
91706 45264 2
56893 11454 7
2501 65180 7
63975 67128 9
4819 33399 5
54049 83959 5
60392 96280 20
77139 38432 4
63140 697 12
37691 8183 7
40303 49020 20
64218 57047 20
4720 72900 4
43064 20306 14
64162 41148 15
83398 15584 14
90708 11863 8
69070 7976 6
29665 18091 20
39995 78934 6
30868 59849 1
45715 70777 19
57430 82692 14
24202 38941 9
56312 17689 10
42475 13485 15
87775 79377 5
85029 94055 11
20628 65586 4
35923 10799 17
7892 2252 16
32574 27334 2
62520 67337 15
12341 77057 5
23674 89396 14
58129 24508 8
50392 87330 12
90613 9900 19
41011 87358 15
29053 21546 4
55729 2788 13
56611 32062 9
24482 24714 15
94758 28622 4
68926 67917 13
80336 58771 4
95048 9969 19
34971 13748 1
3607 44158 7
88944 37827 18
40511 22581 8
85773 70727 14
13865 84880 1
4498 71013 13
77501 95324 7
31442 82591 18
94337 60267 9
20476 7490 17
99887 76581 12
64697 30630 20
76905 82328 10
53959 40192 13
86209 9888 16
37272 48021 8
8007 22519 1
31544 40919 8
60406 34703 3
77049 40531 1
37062 81888 9
21578 23420 6
29938 88080 4
55020 37884 3
91012 24517 3
89625 48412 13
55481 27167 9
38015 90535 5
19622 11863 6
72142 96523 12
6766 20197 11
83871 16478 6
5278 12395 16
59516 81220 20
22339 94601 4
46215 24657 11
63172 31317 8
17107 94953 4
459 51187 2
59550 97842 4
6481 21442 13
25671 14752 4
86973 59037 12
77614 88658 20
16308 51704 3
3786 39805 3
1424 48228 18
3653 45147 20
87181 37393 1
9088 31940 3
1260 275 15
20665 94608 10
50335 44649 16
43419 15491 14
331 5244 17
45342 95196 5
77216 76452 17
79977 94372 16
30199 74019 9
24534 48289 19
40315 73507 13
92298 90077 10
75701 51710 8
23565 24050 5
92433 59247 12
10366 19521 4
4523 65118 7
95413 60562 8
8813 67066 7
33475 20097 19
29404 98781 15
6555 37585 5
78265 85117 17
6108 77196 13
80506 60643 18
58396 7770 9
11708 93794 6
68054 41994 4
15871 26438 9
31084 56841 12
28438 36738 11
67967 1998 11
34313 74303 11
2667 64617 11
885 75100 2
6272 57687 17
39737 27765 18
41611 78508 9
30661 19842 10
61220 36120 10
91666 64263 17
93578 42014 15
10802 73743 19
53677 76734 13
58893 3468 13
39578 7295 7
10352 64922 4
80459 27721 11
94038 79756 7
89287 27508 10
81404 41123 20
51202 14622 6
63882 59174 13
67052 97392 20
73218 69825 18
17562 87684 1
84760 60134 11
2344 47253 15
381 70946 14
8025 26001 19
93452 32299 20
92582 1529 13
40962 63101 3
39690 91667 6
98529 32551 13
95598 98208 3
86536 96375 20
10900 19716 18
47097 94915 12
34700 76065 19
73444 67535 17
19454 2369 1
46626 14556 20
48872 28907 20
36311 49573 2
23927 64274 5
17401 73284 2
75025 34831 7
35393 50554 13
88592 88433 18
84209 97321 8
44565 60720 10
49897 74622 12
92607 16578 11
19349 37577 2
65509 98021 2
29967 84968 20
89039 75659 17
53617 28818 19
24074 9552 17
20655 23739 13
95347 28151 17
87706 66111 14
40623 73131 3
32738 85397 17
21049 60137 12
16572 48392 16
91334 11897 19
15582 46572 1
92334 32959 6
85087 36787 10
39586 86737 9
83013 90457 3
68594 17110 2
8240 33080 13
2528 66933 17
97190 80084 2
37831 54851 12
18095 32235 5
26154 62065 2
1870 97834 1
28920 18046 10
77501 90753 6
11965 8650 10
69977 59956 7
81747 27383 4
58207 72646 16
95184 30975 16
3900 93265 4
26327 1043 7
54126 62835 17
88844 60775 16
59480 65670 14
46818 91263 19
17071 70662 2
25071 44168 2
52846 41828 6
32280 23927 4
73889 45435 13
34354 60655 18
65449 20097 16
46018 41068 1
20387 79552 7
13300 86855 19
9505 82069 5
80465 44913 6
57163 21146 11
24436 81514 17
85475 37165 2
41726 83618 7
73006 6669 11
85808 57776 6
79009 7801 16
45889 47629 19
14774 67768 16
35131 69760 6
22106 472 17
65905 13181 7
58251 2880 17
89198 88799 20
66474 72299 9
21813 43997 10
87714 45844 15
49954 24638 17
99486 28811 9
12609 7380 9
19568 72928 9
90486 84602 20
25222 97309 9
93605 19118 11
26342 81704 5
85632 1354 14
10779 69610 6
67053 50811 15
66618 70067 15
30043 28512 9
17984 71934 14
90664 14691 6
33762 48465 11
74550 49958 9
14900 27056 13
23515 41774 13
73452 10454 2
46368 95481 2
8006 90263 3
96901 99262 3
77534 33196 8
50968 60076 2
29855 73936 7
30553 66258 9
80957 96665 6
33955 56138 8
85783 86769 4
13307 37940 14
85638 11702 9
16380 78998 17
36728 83285 18
25618 40914 15
66720 44073 2
30391 57134 7
59444 35626 3
92618 34382 6
52592 52061 20
57848 45592 19
94863 31006 8
85096 59227 2
39166 26518 9
76540 98851 3
89684 68865 13
12272 97431 15
45780 43132 13
80818 46359 3
92146 7199 13
60635 47708 12
89372 70116 5
33946 70406 10
43247 95737 5
78178 83531 9
49001 83048 17
70632 35053 16
29858 61724 1
71752 36850 10
87450 75129 8
10173 39012 16
51982 48257 3
43106 90024 6
36080 26080 9
87190 1511 13
66910 85051 11
48065 71551 6
94322 15827 3
94648 65475 15
63108 25237 10
63191 65169 13
1608 63635 16
87449 13624 20
22661 89269 19
88593 42168 3
73111 74897 8
56793 79608 13
95845 59080 19
83422 8520 1
66999 85678 15
69190 37389 4
46773 73429 16
13256 38948 13
72425 70426 6
85 78073 17
85475 81326 19
32297 86633 10
94860 77080 5
60080 12786 7
83494 94490 7
50596 89681 5
43193 53198 19
83895 1732 9
17051 84977 10
48861 59715 6
62652 6337 13
2765 92932 15
34946 48064 15
51728 28434 8
39356 996 12
37383 55205 15
82995 55378 9
5427 44693 1
94574 68868 13
27596 59175 6
70478 64301 18
28318 94229 19
24687 97645 12
57464 41517 16
70156 88639 15
20352 88851 3
46698 3066 1
77652 5387 17
40134 63016 20
62534 66803 20
59431 50920 12
79365 50081 18
2446 45070 6
18822 27034 1
88549 16352 10
96314 92167 11
80020 50030 1
53184 60501 17
6448 76882 6
17329 23856 9
66880 25940 18
83665 51724 12
82487 90211 7
69006 68128 16
28876 12917 17
95931 98736 17
92738 19794 10
992 78939 18
27529 78176 13
52314 85772 10
71044 79488 5
47122 4206 20
2552 63071 3
24226 72243 16
21668 97503 9
89480 95768 8
32320 94804 16
57206 65856 7
92 86364 17
78927 90368 16
84076 10495 11
60686 73704 18
8401 20427 17
44592 59372 9
70588 83037 1
51941 90928 16
75035 20989 20
7681 6514 4
26876 18985 2
85037 40631 13
16733 17953 2
39205 35852 17
69088 37277 15
56311 42061 12
61977 27350 19
71452 49616 4
90275 97472 18
52266 2696 16
27575 35660 16
73721 86397 11
44156 86573 13
14670 29822 17
23608 87374 15
67951 32210 3
84520 29739 16
37228 5825 2
62294 25439 6
7090 99381 9
80333 87207 2
20548 69569 18
32579 28632 7
39044 68629 10
68750 90747 14
76512 82195 12
65990 70325 14
15521 75351 10
18110 91445 5
81150 41938 18
65520 6190 15
91342 67724 13
83104 10686 10
29053 95227 18
22950 96910 16
62999 93759 3
57049 49546 7
18934 24357 1
59985 50395 1
87924 48319 14
27240 8118 9
11778 13885 13
13632 6662 6
33338 18425 11
8596 31205 6
57161 51651 9
24385 13001 1
32917 51013 8
74371 15679 19
3818 52593 11
55877 9391 18
27776 90972 5
2770 83715 18
21429 94929 18
65281 35301 13
61507 95503 9
32620 51027 6
7351 22413 17
89355 69503 16
92492 74413 6
20305 32119 6
87187 56778 10
33590 15365 2
62717 81369 12
36352 85805 10
27454 57288 6
9825 53225 10
11005 96751 2
11551 28293 14
32057 20428 7
76315 90078 7
93448 28665 7
42193 14190 14
26464 82223 9
57048 46366 6
61046 92758 3
75554 49388 5
41595 41013 6
68094 53898 4
16231 35966 9
21018 81359 19
27528 87179 7
85730 92423 12
64265 97284 1
87587 4066 20
6199 62125 5
24695 8600 7
10234 97557 8
18065 91868 9
76364 73444 18
73696 74765 17
44551 46008 13
44703 47238 15
98351 79801 17
99744 28839 4
9347 26919 12
29990 59804 4
87917 55556 12
62143 75000 8
93765 18024 2
39817 16356 16
29276 41856 10
89793 37603 6
78881 32247 9
39985 73395 14
37746 32781 2
90507 26559 18
58391 46298 6
34895 18973 6
31389 6032 11
23263 64148 16
25825 70720 5
36443 98891 20
13287 19522 12
78402 25832 11
65617 55780 13
40563 82831 5
65929 60368 13
46021 55421 12
82615 20645 3
72648 99441 6
6167 65659 6
86704 51052 13
5387 59986 19
58232 38959 16
89655 27963 6
71989 58271 9
83564 40062 4
33518 51888 6
91312 90502 18
5204 1789 15
70029 51761 10
41799 92440 14
62347 62891 13
53195 78102 12
58979 21570 1
7291 27618 2
65759 16776 12
58810 24576 15
58107 81064 10
22716 9546 2
96723 20553 19
35879 86972 16
3727 40397 3
18870 19854 9
80279 35083 8
42791 84502 13
32609 69186 15
74096 39554 13
90717 32439 16
82880 91997 13
28648 34447 14
440 54303 10
77455 73422 2
53722 43525 15
91602 42721 8
23030 83152 14
68717 16809 7
50362 78124 18
10546 48735 6
67880 42800 12
36012 66671 18
52588 17555 14
5894 82782 1
48670 28734 7
33681 75041 14
32853 86990 13
45692 37267 15
37571 31572 16
13356 61159 20
99032 90318 12
40326 57572 13
73561 60576 5
43855 53004 1
25849 24720 12
80950 87399 6
2304 99442 12
37035 8554 17
49476 79184 11
39934 59001 7
48286 73017 20
92829 85118 2
4723 63290 6
32163 37487 5
85923 37735 3
42761 53982 19
77306 79311 13
99665 77313 15
1286 98196 12
2125 17638 12
56455 51670 9
48146 986 16
20703 72955 4
97941 9457 12
75921 40874 15
49357 95370 8
53560 88181 19
48415 16961 5
30608 27188 18
35554 31683 13
33730 55085 18
74530 87229 15
56365 27466 14
62487 23718 17
48791 17692 3
95654 96981 12
75594 26225 19
89275 12798 4
11164 17755 5
94835 69452 19
87844 48163 7
3247 76220 13
63852 89385 2
11437 38468 17
31334 14490 19
40106 31124 18
86865 33093 7
73032 70950 7
32396 1008 15
36526 72319 19
26240 39005 2
20046 48236 19
30532 39576 16
34841 57256 7
63486 68768 2
68929 85745 14
60609 21445 8
2672 24179 4
12003 20454 8
51238 89668 3
91838 66022 16
75154 34712 4
39633 64715 2
73858 99664 11
92655 11130 2
36783 77679 2
6885 1765 10
38632 51248 7
20908 69337 11
43710 3630 18
30265 8301 10
75367 24182 19
91848 57861 7
64919 31234 3
17839 90311 16
81550 64608 19
14801 43308 12
39753 54257 2
53592 39011 20
6888 97560 9
7038 53936 5
30391 21734 7
33609 27141 16
93829 31417 3
96439 91460 10
26584 18515 8
48479 5903 4
13984 15970 18
22313 5090 20
31301 63997 16
59050 71470 9
76578 42718 15
81121 24715 2
52545 68744 17
82663 58420 15
98141 78980 13
12581 8456 19
48780 97271 19
74271 25931 7
49339 9996 9
28378 54779 8
77988 37255 15
28278 82356 12
98128 59217 5
15958 30814 17
25145 89756 7
61388 96659 2
28256 83959 17
51526 27287 8
90317 60836 18
33727 5467 7
29898 89247 12
14638 80552 17
77331 57543 15
505 2702 5
44552 14006 6
4928 60407 11
35022 2613 12
80519 81156 11
51640 12902 7
53601 2885 3
94480 66212 14
46687 44247 18
26223 1779 10
59922 31628 3
70376 48036 6
36066 14466 3
81183 25857 1
4713 22978 15
3466 42821 8
55377 35133 6
13973 73454 20
9695 9225 2
47115 3933 4
7424 25662 15
55527 11230 2
37708 79898 20
94621 47788 5
18778 43264 7
73455 49871 12
64743 88159 1
39601 33464 3
32749 87337 5
80300 2045 16
47526 92385 13
94983 20297 15
60845 57992 17
8863 66684 3
86464 44642 1
30624 38487 6
24172 26296 1
67797 87475 5
24428 99482 1
49366 62896 20
53396 62086 12
56438 44295 12
53893 38813 3
496 17262 7
4187 55801 2
62385 13618 4
38798 90279 14
23112 60027 10
82117 26208 7
8533 55017 8
32836 92595 12
12699 90880 12
67343 95748 15
35088 12020 15
95287 85209 12
30080 5782 2
52696 28471 6
42401 57365 2
94214 94031 4
32785 50516 6
18120 73776 7
59044 46886 3
14466 29481 2
53050 40643 1
44112 61908 14
7824 28956 10
61585 87569 3
95422 42520 14
18858 24527 13
93156 77861 6
59284 51309 6
4781 52604 2
56926 20278 13
97222 33510 14
40231 20715 15
86703 44661 2
73494 18105 5
22890 58746 5
26274 44448 13
69022 37894 12
15619 32290 8
65477 31661 10
23173 78146 12
88294 9147 6
84297 162 1
83182 34992 8
15023 17476 6
70513 67832 6
97055 38268 4
6114 70808 13
55995 41131 2
47410 96849 16
91755 7649 2
34246 76521 3
32008 67038 20
79429 16269 20
96082 25440 10
5507 87783 15
4907 20296 19
64675 13149 10
22010 16048 2
76141 43994 8
95919 57170 8
86130 16699 10
39615 59032 6
62473 77515 13
90067 68604 12
89196 81288 19
32914 26230 16
67264 24132 14
21307 35395 6
34908 14558 3
72469 57827 14
82253 91796 13
11234 60716 4
38337 38245 15
64430 67729 5
17430 72890 3
25333 63864 1
2522 80187 16
29872 17107 4
59384 963 2
80968 26882 3
15275 68564 11
81047 95219 7
59223 11669 1
81912 33548 3
50208 80925 11
67601 31997 8
73797 99774 6
56159 57073 1
64210 37399 17
77885 15572 18
78683 31082 4
23346 72391 13
12814 55581 17
57152 68884 6
6195 21566 6
44267 74722 8
77231 33973 18
71196 93127 19
42164 12251 7
20032 61581 2
35296 71601 17
34608 57994 6
88214 86673 19
26917 80286 3
59808 61134 19
30274 39968 17
29713 30101 8
89567 96719 7
64345 76090 15
73441 53355 10
88285 73547 16
2720 82440 6
3668 54011 1
70076 63921 7
58384 38490 11
25974 47673 6
44593 56709 9
10942 17278 9
85921 58842 11
47515 71784 9
32202 1501 5
51799 20829 4
46136 89409 2
90125 11899 14
4222 65087 5
67774 98950 12
92988 56065 9
9065 35937 4
41103 55990 11
18982 71639 10
14057 27567 14
7259 43108 8
21905 23214 18
51564 26746 17
68184 59121 12
7982 84922 14
98381 12383 12
59442 43459 6
39295 56311 17
89462 91965 7
95575 81498 15
59080 69185 2
17264 68843 19
79690 92878 2
57145 18017 13
50437 91745 7
81635 15080 8
11656 27436 10
22552 20785 15
35522 17071 7
88477 66781 7
24598 94312 13
14033 72492 5
46540 5507 17
17728 49793 1
95171 43308 16
34845 59653 12
51605 86129 1
1744 46102 17
13468 8153 20
38746 33159 17
29333 10320 18
61572 9344 8
80041 660 6
19692 90037 16
42584 43802 10
52088 22698 9
98868 98624 2
14387 82997 4
76212 81666 15
80114 74006 18
40143 18220 1
60755 68695 10
21400 1151 5
21347 90056 8
48102 75230 13
41877 20296 19
78578 34611 13
69091 44246 20
972 10287 7
12128 3650 15
45968 18437 18
97074 48299 7
16241 43914 18
94815 39514 4
85619 60705 9
42824 60026 14
36026 95142 10
21422 11455 17
32256 89420 18
54428 92924 19
95623 90113 17
91958 71714 3
70767 34079 15
73517 15136 17
77819 56866 4
94187 72841 16
75041 43246 17
8269 53593 13
47156 5371 14
53234 84990 13
8964 62306 8
49948 58805 6
12542 8358 5
30342 85017 17
19182 52637 17
37334 19539 20
18311 72477 13
18496 289 3
98772 3294 16
63420 35513 7
30498 77552 20
61600 31244 6
17098 93644 19
8967 44691 11
39332 42912 13
54984 25288 18
64555 77975 17
43821 3414 13
81904 8405 18
69775 2815 8
16204 76911 18
99414 55141 13
6544 27320 11
37440 67315 11
84841 2096 14
11229 73217 13
24710 55828 12
99798 39801 18
59683 43775 18
48082 75353 17
14185 10376 19
96856 58349 2
22016 19938 1
97166 59612 17
41585 82937 15
47307 2774 6
60289 75476 4
8675 70999 5
92473 76020 8
10403 75898 2
57464 66885 1
55873 84730 19
66698 27198 8
82805 7524 13
57484 51298 15
49783 94571 12
95228 25675 2
72535 2193 9
2275 74148 9
78272 59541 1
83013 85170 1
12599 2700 11
7086 1511 3
74528 27064 7
67856 97148 11
75652 53070 4
72090 61289 6
4368 25203 9
63372 15618 17
86412 26159 19
45902 53775 2
53521 56220 3
42678 37425 3
23468 98557 2
2226 91551 11
73019 48954 7
18618 20863 3
79057 74825 9
89112 1180 6
14386 51304 2
62838 37123 9
76133 2423 12
59289 40213 15
63961 9112 16
43614 76517 13
49932 9968 19
66402 39688 12
88614 73921 3
27498 74471 19
51576 59737 15
93363 14836 10
24125 25621 13
95738 43560 8
8586 44900 9
57512 62433 11
92412 87315 6
24421 76672 9
47111 21612 6
92467 21941 3
26881 11641 12
8672 58977 19
96990 33164 2
1325 6339 8
41730 57864 2
48097 11525 16
80431 26769 6
50266 43381 14
72338 47490 5
42037 39638 6
65368 78483 14
45454 99018 9
67280 38914 16
49458 9853 20
67973 92435 20
43700 80203 13
25587 53116 15
35384 15827 3
3789 92960 11
45254 25005 6
55976 38058 3
97070 81295 19
9677 28951 16
4452 56964 8
57410 57413 1
77905 44172 10
87437 16580 5
93229 26433 5
22140 25625 1
91924 7395 4
85417 1979 5
21011 45573 16
10447 50088 3
49534 79511 20
59634 20671 6
45341 62140 7
71983 22674 9
88621 17966 19
13012 69565 15
86445 57406 16
8545 96528 17
48861 73501 2
22453 70803 6
77091 61681 13
40484 57917 17
49510 41371 16
70994 99920 7
14120 32735 3
25767 43977 20
68313 34483 20
68673 74976 19
81967 8440 12
23543 50589 15
4623 23680 6
86197 29153 18
20658 19716 10
73377 32881 5
36096 88975 9
69362 84560 18
82147 62794 10
7203 28463 18
37550 5290 9
76066 22977 9
2775 7858 4
20346 82656 19
33060 44895 10
83621 22815 11
75879 37453 2
95746 23481 20
11876 15701 11
59668 14531 11
1262 63672 13
1499 46908 20
11921 25845 3
53120 25978 3
40958 90360 13
82978 86886 8
67063 6652 12
55302 42815 2
72407 23051 9
63252 59573 14
64308 74347 2
34207 98892 5
14992 45407 13
36516 1718 19
14561 68988 19
48312 80002 1
7018 85096 16
83518 12097 18
635 77579 11
13416 46862 8
21398 43231 8
84321 68984 3
19718 54813 4
14021 62829 7
40246 64729 16
17795 50474 2
28538 47361 3
55666 57661 4
21525 3723 1
72542 47930 2
64002 71127 12
33750 84399 3
17116 7163 8
41774 57378 14
15406 26099 6
59912 43397 15
29128 37118 9
42632 84842 4
17109 28712 18
90273 77021 14
75000 49018 5
54618 31803 2
85403 62080 8
73193 5698 16
51187 82437 4
44022 39387 5
90007 10206 2
63125 40430 9
60366 52574 20
42711 53971 4
78370 33603 12
71558 23858 8
79972 82852 9
43694 85604 12
58085 89030 5
83423 14254 14
18048 34645 7
670 18713 17
8933 9722 10
8629 97385 6
74642 23623 8
43179 59114 7
24293 24205 18
30974 44109 14
23880 6180 15
752 62965 19
88358 45875 1
35002 28493 4
86591 76794 3
39569 36463 3
11126 75587 2
2476 43048 16
65154 76799 15
41134 34470 11
12402 66848 9
70604 59801 7
64788 78735 16
87071 58976 20
93236 6764 9
58356 63736 11
45852 75439 8
15311 72204 4
85902 22558 18
8150 87648 1
82972 14631 1
10885 2456 8
75028 63033 13
54656 30669 3
56638 6071 10
43461 60917 16
95563 12055 2
60742 41756 11
88120 29008 9
75083 4675 5
5837 95580 3
63815 70231 10
27130 13398 12
18353 91152 12
74670 85414 3
5354 87498 18
87502 99829 3
77248 36099 8
77966 42789 18
73182 16146 17
59067 65512 13
33125 34117 9
70738 5347 4
55893 24851 1
17030 36081 13
60618 72984 5
82030 87152 17
76461 20335 12
66936 16832 18
69996 18406 13
55716 77871 1
70267 58722 8
71461 43950 13
4490 2107 18
6256 90526 15
89327 4033 10
48098 81352 3
70639 85579 17
10163 83849 9
32183 18502 12
99350 96472 2
84309 35947 5
97036 62270 11
6738 61551 13
49166 25984 16
12585 42378 7
16073 66469 20
89424 66769 18
42204 56297 20
18777 16052 7
29432 79531 19
25755 87414 1
64923 45389 7
45331 44138 5
83956 15383 4
38069 33621 7
71594 61932 18
13095 79552 6
77533 71169 18
56810 35092 1
16921 43093 2
33673 35930 15
99131 75594 14
58022 97818 13
66860 60399 4
65979 24678 15
59899 40818 10
36981 14304 15
4734 14631 4
81282 47931 3
60357 9590 10
69183 42395 8
13615 36989 14
17701 83286 20
40972 42004 14
7550 28002 19
59195 90617 16
23847 77326 2
88796 56328 1
46589 90562 12
81545 70407 20
36834 40936 1
60869 51885 12
15316 81536 14
15062 27438 14
7787 59528 9
52967 15394 9
24605 62918 4
38333 11822 19
11876 75977 16
10030 84343 14
98268 25181 18
29357 71578 17
21305 33621 1
17548 8131 20
57770 6339 11
11599 96268 4
11433 83943 5
66069 34162 18
87035 61720 1
56439 53149 8
23812 80847 12
68834 68313 10
48523 35775 3
25677 48584 10
76706 16511 7
10146 94434 19
4861 71470 15
3907 75534 6
22508 4298 6
72519 11116 16
86287 14783 18
916 87522 6
72584 66784 14
68860 86614 10
68818 88413 13
80465 2836 2
28616 17627 6
57971 49336 9
87701 19595 2
33882 91267 16
24310 89977 20
26981 84392 14
23659 29861 9
3972 58110 11
98812 65189 16
12595 35291 10
85494 76567 11
98239 20156 5
27287 94711 18
35552 90841 14
80406 2502 8
49927 50749 18
55402 85562 3
76051 41052 5
90223 20394 7
76711 93993 4
33415 95926 18
67148 15204 2
56831 79323 18
85230 35975 6
14767 43208 4
20533 83169 5
1115 40581 18
37333 127 11
93227 24375 18
35633 96846 10
98477 33860 17
888 98663 14
37503 62513 2
23557 63479 4
98901 18745 14
80129 97565 20
95984 83317 10
88307 69090 11
69716 19840 13
7352 96823 18
40512 69879 12
66064 43688 18
35809 48128 16
40458 45131 8
49946 4106 1
5904 80959 2
70314 27337 2
37479 74131 11
84237 5597 4
40705 10643 15
15928 95164 14
70144 33224 13
31024 44449 19
63162 54327 20
82348 3128 5
48641 86648 17
11490 79096 1
83787 77883 18
1152 53016 20
58349 34594 11
27062 93201 17
51453 88438 12
78668 54498 12
21464 86724 8
13915 56537 2
81507 99792 18
18008 89766 13
92156 92563 1
47976 41686 19
57146 56785 7
67211 86547 9
20677 53995 15
15158 85765 16
77334 17444 11
10440 9579 19
87301 26556 14
58373 37027 2
18100 10687 17
90309 86082 13
44654 9954 12
85405 46255 10
55157 72826 1
24653 69465 11
45587 33134 5
85344 33818 6
63104 24654 15
73130 74143 8
23052 78634 20
69545 56559 12
28123 24928 19
50614 94261 7
98465 28918 15
66671 26953 8
8004 37363 15
12288 31410 1
95993 46789 10
68610 15386 17
44439 87970 19
22932 19969 3
33458 36916 8
21626 96077 11
70006 1334 3
40387 10307 5
29204 2587 1
58344 19059 19
81823 17040 10
94611 42861 7
87417 63315 11
55161 86745 19
126 31962 12
33329 98299 16
69862 72482 4
90924 89298 16
45633 42061 16
17533 46031 2
407 19480 4
23899 60937 15
68304 44387 2
49410 63980 11
41306 24112 8
46544 28286 4
51079 15167 13
37927 55671 13
54929 5781 13
25737 26216 3
73130 73399 18
15683 31849 5
47781 24402 17
87451 62885 2
17717 18685 4
29721 33674 18
27620 61568 13
1673 96711 19
29900 28521 9
95394 24200 15
63250 32677 5
34285 82938 5
6372 66587 12
25539 5467 17
36339 81450 5
14336 86752 6
51076 75018 10
47957 78324 20
23887 93170 19
49296 11479 8
82466 57639 16
50198 57959 4
35632 67164 18
88804 25208 14
54930 81088 18
89204 31694 10
65649 32405 16
27475 98088 15
96646 43357 7
87680 66315 14
36937 66434 5
16428 92865 6
8032 29949 4
10344 80122 8
76737 93752 1
34912 24647 7
97025 88546 15
46728 41695 10
92192 76608 18
58243 26475 3
69999 31842 12
32753 29395 10
44487 86420 1
90708 82945 4
50111 18395 18
34097 46161 16
49754 9065 17
54437 21315 13
24367 13682 9
78541 52405 7
62082 33988 16
20700 53559 1
66927 8127 17
98838 50694 13
54503 19286 15
85508 97055 18
52499 33657 4
8597 11213 6
86873 58632 6
74031 50694 13
76380 37078 20
77925 80744 2
37770 48447 14
95994 72998 3
50743 53605 11
68689 183 16
62581 63857 16
6507 33516 10
87956 61867 19
68047 46628 4
72245 84850 10
85082 73511 19
75413 95616 9
32250 85925 19
77836 31851 2
69932 82076 12
8419 45849 8
86536 39695 18
36860 20878 17
32891 67715 9
56586 65098 3
73701 22796 16
37697 20169 3
78279 11589 12
9239 12889 16
37392 52941 20
28254 21114 4
44211 22132 16
3719 36420 3
45407 11671 18
31568 36137 17
77252 12733 18
32861 2554 13
46210 16492 16
79241 87722 4
56700 41028 3
18086 7662 1
86529 48675 17
67634 48448 16
55613 12029 7
39291 5381 18
78437 74773 8
61869 73380 20
93183 68259 18
42601 72138 18
95886 23847 6
32567 27105 1
74784 10942 9
97208 52117 18
78361 63045 14
1223 8721 1
23940 24589 12
91729 3701 5
22968 17949 10
10055 18055 13
93812 95227 19
23777 90249 4
30467 27665 4
29307 78011 6
29954 91742 1
28300 46550 18
5056 81449 13
40876 60440 7
34363 43808 8
80080 26951 14
21306 71777 1
64024 2900 3
99306 1552 12
63088 26586 17
82358 56178 13
60774 81217 5
22657 76948 9
80005 55404 8
80688 10733 19
23723 63572 15
6014 94409 15
74777 40943 13
45299 69163 15
14763 39451 16
77410 14142 1
57357 10415 3
98134 41174 19
